,PROFILE,X,Y,Z,S
2302,AX,-6015.029271682234,-3813.168104704756,-52.856450875864994,4.0
2312,AY,-6100.096948798896,-3813.038331318654,-53.136606961407495,4.0
1159,AW,-5934.723610139921,-3811.548648244931,-52.724893377685135,4.0
2301,AX,-6022.023296031913,-3807.8257304201616,-43.933106317816794,4.0
2311,AY,-6115.997102572357,-3800.9040034389072,-41.64753909730723,4.0
1158,AW,-5953.141995918505,-3797.4817087349866,-39.636774724181805,4.0
2310,AY,-6129.671096331313,-3790.4685871491783,-41.12507743821067,4.0
2300,AX,-6055.471512517312,-3782.2763638919564,-32.44403886724956,4.0
1141,AV,-5892.969077368312,-3779.9664275684836,-31.06683509006075,4.0
1157,AW,-5982.504037809966,-3775.056612847601,-31.992753812672902,4.0
2309,AY,-6154.014537730524,-3771.890697660306,-53.10273220164572,4.0
1140,AV,-5937.708428798166,-3745.7894862569765,-29.444748400578646,4.0
1156,AW,-6025.104341383666,-3742.520868364864,-29.885392191042627,4.0
1125,AU,-5863.109816930561,-3740.8791430639294,-31.06683351738036,4.0
2299,AX,-6121.069633273353,-3732.1693445389446,-31.001227345858638,4.0
1139,AV,-5984.354891695031,-3710.1556790187306,-29.885391910908538,4.0
2298,AX,-6153.45025860836,-3707.4354557990855,-50.34168196561768,4.0
1124,AU,-5907.823907334648,-3706.6691329473238,-29.44474701674983,4.0
1155,AW,-6077.488494121513,-3702.5127635992576,-31.001227275750523,4.0
1096,AT,-5833.28279218476,-3698.096131955514,-33.3744584131353,4.0
1138,AV,-6033.697595451851,-3672.462180196067,-29.72722348356774,4.0
1123,AU,-5954.444031914246,-3671.000847646373,-29.885392191042627,4.0
1095,AT,-5876.14379593595,-3665.2617383363513,-34.05999641141284,4.0
1154,AW,-6127.832658144684,-3664.062688847534,-33.71047673640908,4.0
1065,AS,-5802.305065615598,-3657.658763628486,-33.37445849928264,4.0
1153,AW,-6153.6458408404815,-3644.3480143963607,-48.70303829147292,4.0
1137,AV,-6079.988074587612,-3637.100313335191,-29.888468376751234,4.0
1122,AU,-6003.758875762223,-3633.270877256906,-29.72722387778896,4.0
1094,AT,-5922.741805667485,-3629.5645483620647,-33.34682904055671,4.0
1064,AS,-5845.1836525470135,-3624.8473231940125,-34.059996456814815,4.0
1031,AR,-5773.480030864876,-3617.4893590316915,-32.44978575172934,4.0
1121,AU,-6050.023216951566,-3597.8747959361776,-29.88846654252444,4.0
1136,AV,-6132.121624306761,-3597.27485292579,-30.86699098896929,4.0
1093,AT,-5972.033256539473,-3591.804002449848,-29.727223800437514,4.0
1063,AS,-5891.800778828821,-3589.1750874305417,-33.346829140156444,4.0
1030,AR,-5814.679557223614,-3585.962764948484,-32.524289805509795,4.0
996,AQ,-5741.522641094365,-3575.7268609111125,-28.816066231391517,4.0
1135,AV,-6172.582822637991,-3566.3660454316127,-46.70682118593345,4.0
1120,AU,-6102.1273304681845,-3558.0108015126793,-30.866989148792413,4.0
1092,AT,-6018.275651874529,-3556.379236871836,-29.888466509798832,4.0
1062,AS,-5941.112451430765,-3551.440937961229,-29.72722387778896,4.0
1029,AR,-5864.182444656429,-3548.0822945651125,-32.108518072541244,4.0
1134,AV,-6196.835195129489,-3547.8393595316998,-92.61869892999994,4.0
995,AQ,-5785.618814521152,-3542.006257702393,-27.982140432057037,4.0
966,AP,-5711.9255642009475,-3537.0229910932594,-28.816066754484268,4.0
1119,AU,-6147.539246801589,-3523.266896333335,-38.87900574275528,4.0
1091,AT,-6070.3550495119935,-3516.4829373963485,-30.866989208681616,4.0
1061,AS,-5987.373817321394,-3516.040936236225,-29.88846654252444,4.0
899,AN,-5576.343811260971,-3515.1271642845445,-22.901703775617364,4.0
1028,AR,-5910.844536728441,-3512.3756501969638,-29.710980617677194,4.0
994,AQ,-5832.2474513798725,-3506.3490648104303,-25.749509030370206,4.0
1118,AU,-6187.942006003605,-3492.3554143251176,-48.78294052936286,4.0
965,AP,-5770.9220805803525,-3491.882799384078,-11.08640902769963,4.0
898,AN,-5622.761429383581,-3479.5584878576146,-15.70435943481749,4.0
933,AO,-5705.06923385299,-3479.3211807782695,-2.8747130181598095,4.0
1027,AR,-5957.342082824212,-3476.7949192715046,-28.36900210385204,4.0
1060,AS,-6039.474580531668,-3476.172526127494,-30.866989148792413,4.0
993,AQ,-5880.364302231464,-3469.5538259239192,-25.168831907144977,4.0
1117,AU,-6217.7466984166385,-3469.5523377164295,-85.20223663596164,4.0
1090,AT,-6136.812003411085,-3465.5724688566843,-34.26375634330634,4.0
855,AM,-5556.34701717633,-3465.4976060040553,-31.559687881775346,4.0
964,AP,-5811.577332691501,-3460.776117381359,-15.424339918095825,4.0
1116,AU,-6244.2027661077345,-3449.311238430302,-123.13777723014081,4.0
932,AO,-5746.211129654523,-3447.8287701327467,-5.443510522672227,4.0
897,AN,-5667.750813225618,-3445.084232149416,-8.507014563034318,4.0
854,AM,-5587.254224364467,-3441.834275500638,-16.462771825720495,4.0
992,AQ,-5925.430092836136,-3435.09175075564,-28.369002409765727,4.0
1026,AR,-6012.328606769558,-3434.718274861153,-31.775418636233837,4.0
1089,AT,-6179.027473813458,-3433.2325969289036,-48.78294020546957,4.0
963,AP,-5855.956906254495,-3426.8198334929666,-21.414224607581218,4.0
1059,AS,-6105.95879772004,-3425.297646887697,-34.2637563026903,4.0
931,AO,-5783.478888107731,-3419.3018505491605,-9.690322687469575,4.0
1088,AT,-6201.490522482309,-3416.0244002622767,-93.27892330039805,4.0
896,AN,-5706.313142172868,-3415.534870159954,-3.109006174688602,4.0
853,AM,-5625.85710184878,-3412.2789474267106,-14.0252416656474,4.0
804,AL,-5552.5992302118075,-3406.530484886824,-33.68039538227015,4.0
991,AQ,-5977.543720884398,-3395.2401528363816,-30.86698921489051,4.0
962,AP,-5898.199852862623,-3394.4983537637454,-29.37830541044991,4.0
1025,AR,-6066.745821918048,-3393.0772754431778,-33.65272239893858,4.0
1058,AS,-6148.191586844338,-3392.980382166494,-48.78294052936286,4.0
803,AL,-5572.554099514673,-3391.237436902577,-20.704186800322532,4.0
930,AO,-5826.020770092441,-3386.7378086887966,-19.699126470391832,4.0
1087,AT,-6242.589051607633,-3384.540180006887,-121.98396481628251,4.0
895,AN,-5749.233635564705,-3382.6459541990807,-7.7919893660803154,4.0
852,AM,-5664.800252583045,-3382.463097645789,-10.000910308125697,4.0
1057,AS,-6180.50129645401,-3368.2564304651805,-109.79519602333426,4.0
1024,AR,-6106.329030096483,-3362.7875161414195,-37.86553975377626,4.0
802,AL,-5612.82611985229,-3360.3736948204723,-19.327010794587352,4.0
929,AO,-5861.020069084416,-3359.947300505174,-22.819572109519243,4.0
961,AP,-5947.897990689167,-3356.4726599303613,-30.866989148792413,4.0
990,AQ,-6031.974373128522,-3353.616712884993,-32.74429284979706,4.0
894,AN,-5793.046523184016,-3349.0732185420197,-14.762404220027065,4.0
851,AM,-5709.052725877719,-3348.5822977795538,-6.617785676644758,4.0
748,AK,-5552.979868990977,-3344.3708151279616,-35.14628682914923,4.0
1056,AS,-6211.779240660429,-3344.322003594181,-121.98396526292927,4.0
928,AO,-5886.208415054158,-3340.6666689419817,-25.51418312711968,4.0
1023,AR,-6139.515281877287,-3337.3928191265436,-49.67512728043215,4.0
747,AK,-5566.538262953161,-3333.985662305862,-24.368914862256332,4.0
1022,AR,-6151.378093610003,-3328.3151892789,-125.119262227608,4.0
801,AL,-5655.121528331469,-3327.9592649603605,-17.423387144003527,4.0
989,AQ,-6073.0105921901,-3322.2360747790794,-44.224548244656205,4.0
960,AP,-5992.646321346523,-3322.2342277566936,-40.38821431248107,4.0
893,AN,-5828.887814518195,-3321.6089205933104,-18.824056859467476,4.0
850,AM,-5745.658638102881,-3320.5558962321647,-11.647730136143025,4.0
1055,AS,-6244.805537128278,-3319.04970716661,-126.20840806578084,4.0
959,AP,-6005.463801585138,-3312.427148445792,-155.3979303878489,4.0
988,AQ,-6087.041188575973,-3311.506795189883,-154.1890174345416,4.0
927,AO,-5925.193096768988,-3310.8255159875594,-33.301484278023224,4.0
1021,AR,-6175.9690506578,-3309.497761277107,-121.71848322833523,4.0
746,AK,-5599.254231874158,-3308.926622281269,-21.52584786625829,4.0
849,AM,-5774.284150019609,-3298.63948867092,-19.070206737120543,4.0
800,AL,-5693.466507243407,-3298.5723722899575,-16.160970160994168,4.0
676,AJ,-5546.51262548613,-3295.2308190879344,-52.50041921394251,4.0
675,AJ,-5552.815344334081,-3290.401623899917,-29.67259424034063,4.0
892,AN,-5871.838418661917,-3288.696931505592,-24.629986207791376,4.0
1020,AR,-6203.863074166243,-3288.1527693749945,-123.53591465060649,4.0
958,AP,-6038.126881120706,-3287.4355427963014,-145.5989373059103,4.0
987,AQ,-6121.019256668336,-3285.5235666486637,-141.70393981642002,4.0
745,AK,-5633.994003992057,-3282.3174351271346,-17.423387433959903,4.0
848,AM,-5811.010836078836,-3270.520619656824,-21.961197220044653,4.0
674,AJ,-5584.488268194742,-3266.133568289587,-19.33870828805732,4.0
986,AQ,-6147.476930687158,-3265.291227693095,-132.6202130888823,4.0
